nmu      tdc      omegab      d      he3      he4      li6      li7      heavy
   2.4378E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.4889E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.5410E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.5942E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.6485E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.7040E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.7606E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.8184E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.8774E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.9376E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   2.9992E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.0620E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.1261E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.1915E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.2584E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.3266E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.3963E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.4674E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.5400E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.6141E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.6898E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.7670E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.8459E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   3.9264E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.0087E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.0926E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.1783E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.2658E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.3551E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.4463E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.5394E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.6345E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.7315E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.8306E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   4.9317E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.0350E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.1404E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.2481E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.3580E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.4702E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.5847E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.7016E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.8210E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   5.9429E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.0674E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.1944E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.3241E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.4565E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.5917E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.7298E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   6.8707E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.0146E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.1614E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.3114E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.4645E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
   7.6208E-15  1.0000E+00  7.5039E-01  3.3556E-05  2.5361E-05  2.4955E-01  4.5369E-14  3.1414E-09  7.3094E-14
